"filename", "language", "PHP", "comment", "blank", "total"
"c:\xampp\htdocs\withadmin\app\Http\Controllers\OrderAPIController.php", "PHP", 452, 7, 157, 616
"c:\xampp\htdocs\withadmin\app\Http\Controllers\OrderController.php", "PHP", 199, 6, 52, 257
"c:\xampp\htdocs\withadmin\app\Http\Controllers\PizzadesignerController.php", "PHP", 372, 20, 87, 479
"c:\xampp\htdocs\withadmin\app\Http\Controllers\ReservationAPIController.php", "PHP", 53, 1, 15, 69
"c:\xampp\htdocs\withadmin\app\Http\Controllers\ReservationController.php", "PHP", 129, 8, 35, 172
"c:\xampp\htdocs\withadmin\app\Http\Controllers\RestaurantAPIController.php", "PHP", 1115, 30, 225, 1370
"c:\xampp\htdocs\withadmin\app\Http\Controllers\RestaurantController.php", "PHP", 263, 8, 55, 326
"c:\xampp\htdocs\withadmin\app\Http\Controllers\SideController.php", "PHP", 306, 11, 54, 371
"c:\xampp\htdocs\withadmin\app\Http\Controllers\StaterkitController.php", "PHP", 68, 6, 13, 87
"c:\xampp\htdocs\withadmin\app\Http\Controllers\UserSettingsController.php", "PHP", 39, 6, 7, 52
